COORD_REF_SYS_CODE,"COORD_REF_SYS_NAME",AREA_OF_USE_CODE,COORD_REF_SYS_KIND,COORD_SYS_CODE,DATUM_CODE,BASE_CRS_CODE,PROJECTION_CONV_CODE,CMPD_HORIZCRS_CODE,CMPD_VERTCRS_CODE,CRS_SCOPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,SHOW_CRS,DEPRECATED
32310,"WGS 72 / UTM zone 10S",NaN,projected,4400,NaN,4322,16110,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32311,"WGS 72 / UTM zone 11S",NaN,projected,4400,NaN,4322,16111,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32312,"WGS 72 / UTM zone 12S",NaN,projected,4400,NaN,4322,16112,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32313,"WGS 72 / UTM zone 13S",NaN,projected,4400,NaN,4322,16113,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32314,"WGS 72 / UTM zone 14S",NaN,projected,4400,NaN,4322,16114,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32315,"WGS 72 / UTM zone 15S",NaN,projected,4400,NaN,4322,16115,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32316,"WGS 72 / UTM zone 16S",NaN,projected,4400,NaN,4322,16116,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32317,"WGS 72 / UTM zone 17S",NaN,projected,4400,NaN,4322,16117,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32318,"WGS 72 / UTM zone 18S",NaN,projected,4400,NaN,4322,16118,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32319,"WGS 72 / UTM zone 19S",NaN,projected,4400,NaN,4322,16119,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32320,"WGS 72 / UTM zone 20S",NaN,projected,4400,NaN,4322,16120,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32321,"WGS 72 / UTM zone 21S",NaN,projected,4400,NaN,4322,16121,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32322,"WGS 72 / UTM zone 22S",NaN,projected,4400,NaN,4322,16122,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32323,"WGS 72 / UTM zone 23S",NaN,projected,4400,NaN,4322,16123,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32324,"WGS 72 / UTM zone 24S",NaN,projected,4400,NaN,4322,16124,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32325,"WGS 72 / UTM zone 25S",NaN,projected,4400,NaN,4322,16125,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32326,"WGS 72 / UTM zone 26S",NaN,projected,4400,NaN,4322,16126,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32327,"WGS 72 / UTM zone 27S",NaN,projected,4400,NaN,4322,16127,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32202,"WGS 72 / UTM zone 2N",NaN,projected,4400,NaN,4322,16002,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32203,"WGS 72 / UTM zone 3N",NaN,projected,4400,NaN,4322,16003,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32204,"WGS 72 / UTM zone 4N",NaN,projected,4400,NaN,4322,16004,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32205,"WGS 72 / UTM zone 5N",NaN,projected,4400,NaN,4322,16005,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32206,"WGS 72 / UTM zone 6N",NaN,projected,4400,NaN,4322,16006,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32207,"WGS 72 / UTM zone 7N",NaN,projected,4400,NaN,4322,16007,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32208,"WGS 72 / UTM zone 8N",NaN,projected,4400,NaN,4322,16008,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32209,"WGS 72 / UTM zone 9N",NaN,projected,4400,NaN,4322,16009,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32229,"WGS 72 / UTM zone 29N",NaN,projected,4400,NaN,4322,16029,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32230,"WGS 72 / UTM zone 30N",NaN,projected,4400,NaN,4322,16030,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32231,"WGS 72 / UTM zone 31N",NaN,projected,4400,NaN,4322,16031,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32232,"WGS 72 / UTM zone 32N",NaN,projected,4400,NaN,4322,16032,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32233,"WGS 72 / UTM zone 33N",NaN,projected,4400,NaN,4322,16033,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32234,"WGS 72 / UTM zone 34N",NaN,projected,4400,NaN,4322,16034,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32235,"WGS 72 / UTM zone 35N",NaN,projected,4400,NaN,4322,16035,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32236,"WGS 72 / UTM zone 36N",NaN,projected,4400,NaN,4322,16036,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32237,"WGS 72 / UTM zone 37N",NaN,projected,4400,NaN,4322,16037,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32238,"WGS 72 / UTM zone 38N",NaN,projected,4400,NaN,4322,16038,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32239,"WGS 72 / UTM zone 39N",NaN,projected,4400,NaN,4322,16039,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32240,"WGS 72 / UTM zone 40N",NaN,projected,4400,NaN,4322,16040,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32241,"WGS 72 / UTM zone 41N",NaN,projected,4400,NaN,4322,16041,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32242,"WGS 72 / UTM zone 42N",NaN,projected,4400,NaN,4322,16042,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32243,"WGS 72 / UTM zone 43N",NaN,projected,4400,NaN,4322,16043,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32244,"WGS 72 / UTM zone 44N",NaN,projected,4400,NaN,4322,16044,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32245,"WGS 72 / UTM zone 45N",NaN,projected,4400,NaN,4322,16045,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32246,"WGS 72 / UTM zone 46N",NaN,projected,4400,NaN,4322,16046,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32247,"WGS 72 / UTM zone 47N",NaN,projected,4400,NaN,4322,16047,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32248,"WGS 72 / UTM zone 48N",NaN,projected,4400,NaN,4322,16048,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32249,"WGS 72 / UTM zone 49N",NaN,projected,4400,NaN,4322,16049,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32250,"WGS 72 / UTM zone 50N",NaN,projected,4400,NaN,4322,16050,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32251,"WGS 72 / UTM zone 51N",NaN,projected,4400,NaN,4322,16051,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32252,"WGS 72 / UTM zone 52N",NaN,projected,4400,NaN,4322,16052,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32253,"WGS 72 / UTM zone 53N",NaN,projected,4400,NaN,4322,16053,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32254,"WGS 72 / UTM zone 54N",NaN,projected,4400,NaN,4322,16054,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32255,"WGS 72 / UTM zone 55N",NaN,projected,4400,NaN,4322,16055,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32256,"WGS 72 / UTM zone 56N",NaN,projected,4400,NaN,4322,16056,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32257,"WGS 72 / UTM zone 57N",NaN,projected,4400,NaN,4322,16057,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32258,"WGS 72 / UTM zone 58N",NaN,projected,4400,NaN,4322,16058,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32259,"WGS 72 / UTM zone 59N",NaN,projected,4400,NaN,4322,16059,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32260,"WGS 72 / UTM zone 60N",NaN,projected,4400,NaN,4322,16060,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32302,"WGS 72 / UTM zone 2S",NaN,projected,4400,NaN,4322,16102,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32303,"WGS 72 / UTM zone 3S",NaN,projected,4400,NaN,4322,16103,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32304,"WGS 72 / UTM zone 4S",NaN,projected,4400,NaN,4322,16104,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32305,"WGS 72 / UTM zone 5S",NaN,projected,4400,NaN,4322,16105,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32306,"WGS 72 / UTM zone 6S",NaN,projected,4400,NaN,4322,16106,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32307,"WGS 72 / UTM zone 7S",NaN,projected,4400,NaN,4322,16107,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32308,"WGS 72 / UTM zone 8S",NaN,projected,4400,NaN,4322,16108,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32309,"WGS 72 / UTM zone 9S",NaN,projected,4400,NaN,4322,16109,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32328,"WGS 72 / UTM zone 28S",NaN,projected,4400,NaN,4322,16128,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32329,"WGS 72 / UTM zone 29S",NaN,projected,4400,NaN,4322,16129,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32330,"WGS 72 / UTM zone 30S",NaN,projected,4400,NaN,4322,16130,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32331,"WGS 72 / UTM zone 31S",NaN,projected,4400,NaN,4322,16131,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32332,"WGS 72 / UTM zone 32S",NaN,projected,4400,NaN,4322,16132,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32333,"WGS 72 / UTM zone 33S",NaN,projected,4400,NaN,4322,16133,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32334,"WGS 72 / UTM zone 34S",NaN,projected,4400,NaN,4322,16134,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32335,"WGS 72 / UTM zone 35S",NaN,projected,4400,NaN,4322,16135,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32336,"WGS 72 / UTM zone 36S",NaN,projected,4400,NaN,4322,16136,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32337,"WGS 72 / UTM zone 37S",NaN,projected,4400,NaN,4322,16137,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32338,"WGS 72 / UTM zone 38S",NaN,projected,4400,NaN,4322,16138,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32339,"WGS 72 / UTM zone 39S",NaN,projected,4400,NaN,4322,16139,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32340,"WGS 72 / UTM zone 40S",NaN,projected,4400,NaN,4322,16140,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32341,"WGS 72 / UTM zone 41S",NaN,projected,4400,NaN,4322,16141,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32342,"WGS 72 / UTM zone 42S",NaN,projected,4400,NaN,4322,16142,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32343,"WGS 72 / UTM zone 43S",NaN,projected,4400,NaN,4322,16143,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32344,"WGS 72 / UTM zone 44S",NaN,projected,4400,NaN,4322,16144,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32345,"WGS 72 / UTM zone 45S",NaN,projected,4400,NaN,4322,16145,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32346,"WGS 72 / UTM zone 46S",NaN,projected,4400,NaN,4322,16146,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32347,"WGS 72 / UTM zone 47S",NaN,projected,4400,NaN,4322,16147,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32348,"WGS 72 / UTM zone 48S",NaN,projected,4400,NaN,4322,16148,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32349,"WGS 72 / UTM zone 49S",NaN,projected,4400,NaN,4322,16149,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32350,"WGS 72 / UTM zone 50S",NaN,projected,4400,NaN,4322,16150,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32351,"WGS 72 / UTM zone 51S",NaN,projected,4400,NaN,4322,16151,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32352,"WGS 72 / UTM zone 52S",NaN,projected,4400,NaN,4322,16152,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32353,"WGS 72 / UTM zone 53S",NaN,projected,4400,NaN,4322,16153,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32354,"WGS 72 / UTM zone 54S",NaN,projected,4400,NaN,4322,16154,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32355,"WGS 72 / UTM zone 55S",NaN,projected,4400,NaN,4322,16155,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32356,"WGS 72 / UTM zone 56S",NaN,projected,4400,NaN,4322,16156,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32357,"WGS 72 / UTM zone 57S",NaN,projected,4400,NaN,4322,16157,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32358,"WGS 72 / UTM zone 58S",NaN,projected,4400,NaN,4322,16158,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32359,"WGS 72 / UTM zone 59S",NaN,projected,4400,NaN,4322,16159,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32360,"WGS 72 / UTM zone 60S",NaN,projected,4400,NaN,4322,16160,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32530,"WGS 72BE / UTM zone 30S",NaN,projected,4400,NaN,4324,16130,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32531,"WGS 72BE / UTM zone 31S",NaN,projected,4400,NaN,4324,16131,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32532,"WGS 72BE / UTM zone 32S",NaN,projected,4400,NaN,4324,16132,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32533,"WGS 72BE / UTM zone 33S",NaN,projected,4400,NaN,4324,16133,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32534,"WGS 72BE / UTM zone 34S",NaN,projected,4400,NaN,4324,16134,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32535,"WGS 72BE / UTM zone 35S",NaN,projected,4400,NaN,4324,16135,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32536,"WGS 72BE / UTM zone 36S",NaN,projected,4400,NaN,4324,16136,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32537,"WGS 72BE / UTM zone 37S",NaN,projected,4400,NaN,4324,16137,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32538,"WGS 72BE / UTM zone 38S",NaN,projected,4400,NaN,4324,16138,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32539,"WGS 72BE / UTM zone 39S",NaN,projected,4400,NaN,4324,16139,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32540,"WGS 72BE / UTM zone 40S",NaN,projected,4400,NaN,4324,16140,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32541,"WGS 72BE / UTM zone 41S",NaN,projected,4400,NaN,4324,16141,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32542,"WGS 72BE / UTM zone 42S",NaN,projected,4400,NaN,4324,16142,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32543,"WGS 72BE / UTM zone 43S",NaN,projected,4400,NaN,4324,16143,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32544,"WGS 72BE / UTM zone 44S",NaN,projected,4400,NaN,4324,16144,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32545,"WGS 72BE / UTM zone 45S",NaN,projected,4400,NaN,4324,16145,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32546,"WGS 72BE / UTM zone 46S",NaN,projected,4400,NaN,4324,16146,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32547,"WGS 72BE / UTM zone 47S",NaN,projected,4400,NaN,4324,16147,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32548,"WGS 72BE / UTM zone 48S",NaN,projected,4400,NaN,4324,16148,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32549,"WGS 72BE / UTM zone 49S",NaN,projected,4400,NaN,4324,16149,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32550,"WGS 72BE / UTM zone 50S",NaN,projected,4400,NaN,4324,16150,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32551,"WGS 72BE / UTM zone 51S",NaN,projected,4400,NaN,4324,16151,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32552,"WGS 72BE / UTM zone 52S",NaN,projected,4400,NaN,4324,16152,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32553,"WGS 72BE / UTM zone 53S",NaN,projected,4400,NaN,4324,16153,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32554,"WGS 72BE / UTM zone 54S",NaN,projected,4400,NaN,4324,16154,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32555,"WGS 72BE / UTM zone 55S",NaN,projected,4400,NaN,4324,16155,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32556,"WGS 72BE / UTM zone 56S",NaN,projected,4400,NaN,4324,16156,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32557,"WGS 72BE / UTM zone 57S",NaN,projected,4400,NaN,4324,16157,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32558,"WGS 72BE / UTM zone 58S",NaN,projected,4400,NaN,4324,16158,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32559,"WGS 72BE / UTM zone 59S",NaN,projected,4400,NaN,4324,16159,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32560,"WGS 72BE / UTM zone 60S",NaN,projected,4400,NaN,4324,16160,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32407,"WGS 72BE / UTM zone 7N",NaN,projected,4400,NaN,4324,16007,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32408,"WGS 72BE / UTM zone 8N",NaN,projected,4400,NaN,4324,16008,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32409,"WGS 72BE / UTM zone 9N",NaN,projected,4400,NaN,4324,16009,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32506,"WGS 72BE / UTM zone 6S",NaN,projected,4400,NaN,4324,16106,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32507,"WGS 72BE / UTM zone 7S",NaN,projected,4400,NaN,4324,16107,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32508,"WGS 72BE / UTM zone 8S",NaN,projected,4400,NaN,4324,16108,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32509,"WGS 72BE / UTM zone 9S",NaN,projected,4400,NaN,4324,16109,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32410,"WGS 72BE / UTM zone 10N",NaN,projected,4400,NaN,4324,16010,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32411,"WGS 72BE / UTM zone 11N",NaN,projected,4400,NaN,4324,16011,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32412,"WGS 72BE / UTM zone 12N",NaN,projected,4400,NaN,4324,16012,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32413,"WGS 72BE / UTM zone 13N",NaN,projected,4400,NaN,4324,16013,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32414,"WGS 72BE / UTM zone 14N",NaN,projected,4400,NaN,4324,16014,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32415,"WGS 72BE / UTM zone 15N",NaN,projected,4400,NaN,4324,16015,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32416,"WGS 72BE / UTM zone 16N",NaN,projected,4400,NaN,4324,16016,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32510,"WGS 72BE / UTM zone 10S",NaN,projected,4400,NaN,4324,16110,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32511,"WGS 72BE / UTM zone 11S",NaN,projected,4400,NaN,4324,16111,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32512,"WGS 72BE / UTM zone 12S",NaN,projected,4400,NaN,4324,16112,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
32513,"WGS 72BE / UTM zone 13S",NaN,projected,4400,NaN,4324,16113,NaN,NaN,NaN,NaN,NaN,EPSG,2-6-1995,NaN,1,0
