ALIAS CODE,OBJECT_TABLE_NAME,OBJECT_CODE,NAMING_SYSTEM_CODE,"ALIAS",REMARKS
8442,Coordinate Reference System,4554,7302,"CGCS2000 / 3GK CM 135E",NaN
8389,Coordinate Reference System,4534,7302,"CGCS2000 / 3GK CM 75E",NaN
8391,Coordinate Reference System,4535,7302,"CGCS2000 / 3GK CM 78E",NaN
8393,Coordinate Reference System,4536,7302,"CGCS2000 / 3GK CM 81E",NaN
8395,Coordinate Reference System,4537,7302,"CGCS2000 / 3GK CM 84E",NaN
8399,Coordinate Reference System,4538,7302,"CGCS2000 / 3GK CM 87E",NaN
8401,Coordinate Reference System,4539,7302,"CGCS2000 / 3GK CM 90E",NaN
8403,Coordinate Reference System,4540,7302,"CGCS2000 / 3GK CM 93E",NaN
8387,Coordinate Reference System,4541,7302,"CGCS2000 / 3GK CM 96E",NaN
8406,Coordinate Reference System,4542,7302,"CGCS2000 / 3GK CM 99E",NaN
9059,Coordinate Reference System,4513,7302,"CGCS2000 / 3GK zone 25",NaN
9057,Coordinate Reference System,4514,7302,"CGCS2000 / 3GK zone 26",NaN
9053,Coordinate Reference System,4515,7302,"CGCS2000 / 3GK zone 27",NaN
9051,Coordinate Reference System,4516,7302,"CGCS2000 / 3GK zone 28",NaN
9049,Coordinate Reference System,4517,7302,"CGCS2000 / 3GK zone 29",NaN
9047,Coordinate Reference System,4518,7302,"CGCS2000 / 3GK zone 30",NaN
9045,Coordinate Reference System,4519,7302,"CGCS2000 / 3GK zone 31",NaN
9043,Coordinate Reference System,4520,7302,"CGCS2000 / 3GK zone 32",NaN
9041,Coordinate Reference System,4521,7302,"CGCS2000 / 3GK zone 33",NaN
9039,Coordinate Reference System,4522,7302,"CGCS2000 / 3GK zone 34",NaN
9037,Coordinate Reference System,4523,7302,"CGCS2000 / 3GK zone 35",NaN
9035,Coordinate Reference System,4524,7302,"CGCS2000 / 3GK zone 36",NaN
9031,Coordinate Reference System,4525,7302,"CGCS2000 / 3GK zone 37",NaN
9022,Coordinate Reference System,4526,7302,"CGCS2000 / 3GK zone 38",NaN
9029,Coordinate Reference System,4527,7302,"CGCS2000 / 3GK zone 39",NaN
9018,Coordinate Reference System,4528,7302,"CGCS2000 / 3GK zone 40",NaN
9328,Coordinate Reference System,4529,7302,"CGCS2000 / 3GK zone 41",NaN
9014,Coordinate Reference System,4530,7302,"CGCS2000 / 3GK zone 42",NaN
9006,Coordinate Reference System,4531,7302,"CGCS2000 / 3GK zone 43",NaN
9010,Coordinate Reference System,4532,7302,"CGCS2000 / 3GK zone 44",NaN
9007,Coordinate Reference System,4533,7302,"CGCS2000 / 3GK zone 45",NaN
8188,Coordinate Reference System,4507,7302,"CGCS2000 / G-K CM 105E",NaN
8193,Coordinate Reference System,4508,7302,"CGCS2000 / G-K CM 111E",NaN
8198,Coordinate Reference System,4509,7302,"CGCS2000 / G-K CM 117E",NaN
8203,Coordinate Reference System,4510,7302,"CGCS2000 / G-K CM 123E",NaN
9000,Coordinate Reference System,4511,7302,"CGCS2000 / G-K CM 129E",NaN
8213,Coordinate Reference System,4512,7302,"CGCS2000 / G-K CM 135E",NaN
8163,Coordinate Reference System,4502,7302,"CGCS2000 / G-K CM 75E",NaN
8168,Coordinate Reference System,4503,7302,"CGCS2000 / G-K CM 81E",NaN
8173,Coordinate Reference System,4504,7302,"CGCS2000 / G-K CM 87E",NaN
8178,Coordinate Reference System,4505,7302,"CGCS2000 / G-K CM 93E",NaN
8183,Coordinate Reference System,4506,7302,"CGCS2000 / G-K CM 99E",NaN
8886,Coordinate Reference System,4491,7302,"CGCS2000 / G-K zone 13",NaN
8122,Coordinate Reference System,4492,7302,"CGCS2000 / G-K zone 14",NaN
8125,Coordinate Reference System,4493,7302,"CGCS2000 / G-K zone 15",NaN
9025,Coordinate Reference System,4494,7302,"CGCS2000 / G-K zone 16",NaN
8116,Coordinate Reference System,4495,7302,"CGCS2000 / G-K zone 17",NaN
8133,Coordinate Reference System,4496,7302,"CGCS2000 / G-K zone 18",NaN
8598,Coordinate Reference System,4497,7302,"CGCS2000 / G-K zone 19",NaN
8143,Coordinate Reference System,4498,7302,"CGCS2000 / G-K zone 20",NaN
8148,Coordinate Reference System,4499,7302,"CGCS2000 / G-K zone 21",NaN
8153,Coordinate Reference System,4500,7302,"CGCS2000 / G-K zone 22",NaN
8158,Coordinate Reference System,4501,7302,"CGCS2000 / G-K zone 23",NaN
242,Coordinate Reference System,4609,7302,"CGQ77",NaN
2161,Coordinate Reference System,66096405,7302,"CGQ77 (deg)",NaN
4408,Coordinate Reference System,2138,7302,"CGQ77 / Quebec Lambert",NaN
186,Coordinate Reference System,2016,7302,"CGQ77 / SCoPQ zone 10",NaN
178,Coordinate Reference System,2008,7302,"CGQ77 / SCoPQ zone 2",NaN
179,Coordinate Reference System,2009,7302,"CGQ77 / SCoPQ zone 3",NaN
180,Coordinate Reference System,2010,7302,"CGQ77 / SCoPQ zone 4",NaN
181,Coordinate Reference System,2011,7302,"CGQ77 / SCoPQ zone 5",NaN
182,Coordinate Reference System,2012,7302,"CGQ77 / SCoPQ zone 6",NaN
183,Coordinate Reference System,2013,7302,"CGQ77 / SCoPQ zone 7",NaN
184,Coordinate Reference System,2014,7302,"CGQ77 / SCoPQ zone 8",NaN
185,Coordinate Reference System,2015,7302,"CGQ77 / SCoPQ zone 9",NaN
6670,Coordinate Reference System,6312,7302,"CGRS93 / Cyprus LTM",NaN
10777,Coordinate Reference System,4160,7302,"Chos Malal",NaN
12326,Coordinate Reference System,2081,7302,"Chos Malal / Argentina 2",NaN
4131,Coordinate Reference System,4672,7302,"CI1971",NaN
17837,Coordinate Reference System,5518,7302,"CI1971 / CIMG",NaN
4130,Coordinate Reference System,4673,7302,"CI1979",NaN
18009,Coordinate Reference System,5519,7302,"CI1979 / CIMG",NaN
27549,Coordinate Reference System,6141,7302,"CING11",NaN
30205,Coordinate Reference System,6391,7302,"CING11",NaN
5103,Coordinate Reference System,2980,7302,"Combani 1950 / UTM 38S",NaN
5612,Coordinate Reference System,31528,7302,"Conakry 1905 / UTM 28N",NaN
5613,Coordinate Reference System,31529,7302,"Conakry 1905 / UTM 29N",NaN
18704,Coordinate Reference System,5536,7302,"Corrego Aleg61 / UTM 21S",NaN
18707,Coordinate Reference System,5537,7302,"Corrego Aleg61 / UTM 22S",NaN
18710,Coordinate Reference System,5538,7302,"Corrego Aleg61 / UTM 23S",NaN
18713,Coordinate Reference System,5539,7302,"Corrego Aleg61 / UTM 24S",NaN
5552,Coordinate Reference System,22521,7302,"Corrego Alegre / UTM 21S",NaN
5553,Coordinate Reference System,22522,7302,"Corrego Alegre / UTM 22S",NaN
905,Coordinate Reference System,22523,7302,"Corrego Alegre / UTM 23S",NaN
906,Coordinate Reference System,22524,7302,"Corrego Alegre / UTM 24S",NaN
5554,Coordinate Reference System,22525,7302,"Corrego Alegre / UTM 25S",NaN
2213,Coordinate Reference System,6797,7302,"CORS96 / OCRS_BBU (ft)",NaN
2325,Coordinate Reference System,6796,7302,"CORS96 / OCRS_BBU (m)",NaN
3545,Coordinate Reference System,6785,7302,"CORS96 / OCRS_BKE (ft)",NaN
3547,Coordinate Reference System,6784,7302,"CORS96 / OCRS_BKE (m)",NaN
3546,Coordinate Reference System,6789,7302,"CORS96 / OCRS_BKF (ft)",NaN
3548,Coordinate Reference System,6788,7302,"CORS96 / OCRS_BKF (m)",NaN
3549,Coordinate Reference System,6793,7302,"CORS96 / OCRS_BRP (ft)",NaN
1969,Coordinate Reference System,6792,7302,"CORS96 / OCRS_BRP (m)",NaN
1976,Coordinate Reference System,6813,7302,"CORS96 / OCRS_CGC (ft)",NaN
1977,Coordinate Reference System,6812,7302,"CORS96 / OCRS_CGC (m)",NaN
1970,Coordinate Reference System,6801,7302,"CORS96 / OCRS_CGP (ft)",NaN
1971,Coordinate Reference System,6800,7302,"CORS96 / OCRS_CGP (m)",NaN
1972,Coordinate Reference System,6805,7302,"CORS96 / OCRS_CRE (ft)",NaN
1974,Coordinate Reference System,6804,7302,"CORS96 / OCRS_CRE (m)",NaN
1973,Coordinate Reference System,6809,7302,"CORS96 / OCRS_CRW (ft)",NaN
1975,Coordinate Reference System,6808,7302,"CORS96 / OCRS_CRW (m)",NaN
1978,Coordinate Reference System,6817,7302,"CORS96 / OCRS_DFM (ft)",NaN
1979,Coordinate Reference System,6816,7302,"CORS96 / OCRS_DFM (m)",NaN
1980,Coordinate Reference System,6821,7302,"CORS96 / OCRS_EUG (ft)",NaN
1981,Coordinate Reference System,6820,7302,"CORS96 / OCRS_EUG (m)",NaN
1982,Coordinate Reference System,6825,7302,"CORS96 / OCRS_GPA (ft)",NaN
1983,Coordinate Reference System,6824,7302,"CORS96 / OCRS_GPA (m)",NaN
1984,Coordinate Reference System,6829,7302,"CORS96 / OCRS_GWS (ft)",NaN
1985,Coordinate Reference System,6828,7302,"CORS96 / OCRS_GWS (m)",NaN
1987,Coordinate Reference System,6833,7302,"CORS96 / OCRS_LDG (ft)",NaN
1986,Coordinate Reference System,6832,7302,"CORS96 / OCRS_LDG (m)",NaN
1989,Coordinate Reference System,6837,7302,"CORS96 / OCRS_ONT (ft)",NaN
2037,Coordinate Reference System,6836,7302,"CORS96 / OCRS_ONT (m)",NaN
2039,Coordinate Reference System,6841,7302,"CORS96 / OCRS_ORC (ft)",NaN
2007,Coordinate Reference System,6840,7302,"CORS96 / OCRS_ORC (m)",NaN
2054,Coordinate Reference System,6845,7302,"CORS96 / OCRS_PDT (ft)",NaN
2053,Coordinate Reference System,6844,7302,"CORS96 / OCRS_PDT (m)",NaN
2062,Coordinate Reference System,6853,7302,"CORS96 / OCRS_PDX (ft)",NaN
2061,Coordinate Reference System,6852,7302,"CORS96 / OCRS_PDX (m)",NaN
2057,Coordinate Reference System,6849,7302,"CORS96 / OCRS_PLG (ft)",NaN
2056,Coordinate Reference System,6848,7302,"CORS96 / OCRS_PLG (m)",NaN
2400,Coordinate Reference System,6861,7302,"CORS96 / OCRS_SAN (ft)",NaN
2332,Coordinate Reference System,6860,7302,"CORS96 / OCRS_SAN (m)",NaN
2094,Coordinate Reference System,6857,7302,"CORS96 / OCRS_SLE (ft)",NaN
2092,Coordinate Reference System,6856,7302,"CORS96 / OCRS_SLE (m)",NaN
3543,Coordinate Reference System,6868,7302,"CORS96 / OR GIC Lam (ft)",NaN
3542,Coordinate Reference System,6867,7302,"CORS96 / OR LCC (m)",NaN
2968,Coordinate Reference System,6884,7302,"CORS96 / OR N (m)",NaN
3103,Coordinate Reference System,6887,7302,"CORS96 / OR S (ft)",NaN
3054,Coordinate Reference System,6886,7302,"CORS96 / OR S (m)",NaN
7928,Coordinate Reference System,8906,7302,"CR14",NaN
7160,Coordinate Reference System,7799,7302,"CS2005 zone 34",NaN
7154,Coordinate Reference System,7800,7302,"CS2005 zone 35",NaN
22599,Coordinate Reference System,5685,7302,"DB_REF / 3GK zone 5 E-N",NaN
2787,Coordinate Reference System,3109,7302,"ETRS89 / JTM",NaN
10555,Coordinate Reference System,3035,7302,"ETRS89 / LAEA",NaN
4292,Coordinate Reference System,3447,7302,"ETRS89 / LB05",NaN
4291,Coordinate Reference System,3812,7302,"ETRS89 / LB08",NaN
10001,Coordinate Reference System,3034,7302,"ETRS89 / LCC",NaN
4032,Coordinate Reference System,4274,7302,"D73",NaN
5464,Coordinate Reference System,3461,7302,"Dabola 1981 / UTM 28N",NaN
4404,Coordinate Reference System,2063,7302,"Dabola 1981 / UTM 28N",NaN
4405,Coordinate Reference System,2064,7302,"Dabola 1981 / UTM 29N",NaN
5465,Coordinate Reference System,3462,7302,"Dabola 1981 / UTM 29N",NaN
5598,Coordinate Reference System,27493,7302,"Datum 73 / Modified Grid",NaN
22590,Coordinate Reference System,5682,7302,"DB_REF / 3GK zone 2 E-N",NaN
22580,Coordinate Reference System,5683,7302,"DB_REF / 3GK zone 3 E-N",NaN
22596,Coordinate Reference System,5684,7302,"DB_REF / 3GK zone 4 E-N",NaN
5555,Coordinate Reference System,23830,7302,"DGN95 / Indonesia 46.2",NaN
5556,Coordinate Reference System,23831,7302,"DGN95 / Indonesia 47.1",NaN
5557,Coordinate Reference System,23832,7302,"DGN95 / Indonesia 47.2",NaN
5558,Coordinate Reference System,23833,7302,"DGN95 / Indonesia 48.1",NaN
5559,Coordinate Reference System,23834,7302,"DGN95 / Indonesia 48.2",NaN
5560,Coordinate Reference System,23835,7302,"DGN95 / Indonesia 49.1",NaN
5561,Coordinate Reference System,23836,7302,"DGN95 / Indonesia 49.2",NaN
5562,Coordinate Reference System,23837,7302,"DGN95 / Indonesia 50.1",NaN
5563,Coordinate Reference System,23838,7302,"DGN95 / Indonesia 50.2",NaN
5564,Coordinate Reference System,23839,7302,"DGN95 / Indonesia 51.1",NaN
5565,Coordinate Reference System,23840,7302,"DGN95 / Indonesia 51.2",NaN
5566,Coordinate Reference System,23841,7302,"DGN95 / Indonesia 52.1",NaN
5567,Coordinate Reference System,23842,7302,"DGN95 / Indonesia 52.2",NaN
5568,Coordinate Reference System,23843,7302,"DGN95 / Indonesia 53.1",NaN
5569,Coordinate Reference System,23844,7302,"DGN95 / Indonesia 53.2",NaN
5570,Coordinate Reference System,23845,7302,"DGN95 / Indonesia 54.1",NaN
18043,Coordinate Reference System,5520,7302,"DHDN / 3GK zone 1",NaN
22090,Coordinate Reference System,5680,7302,"DHDN / 3GK zone 1",NaN
22101,Coordinate Reference System,5676,7302,"DHDN / 3GK zone 2",NaN
5608,Coordinate Reference System,31466,7302,"DHDN / 3GK zone 2",NaN
5609,Coordinate Reference System,31467,7302,"DHDN / 3GK zone 3",NaN
22105,Coordinate Reference System,5677,7302,"DHDN / 3GK zone 3",NaN
5610,Coordinate Reference System,31468,7302,"DHDN / 3GK zone 4",NaN
172,Coordinate Reference System,2002,7302,"Dominica 1945 / BWI Grid",NaN
14713,Coordinate Reference System,5266,7302,"DRUKREF 03 / Bhutan NG",NaN
14726,Coordinate Reference System,5300,7302,"DRUKREF 03 / P-Gatsh TM",NaN
14717,Coordinate Reference System,5302,7302,"DRUKREF 03 / S Jong TM",NaN
14728,Coordinate Reference System,5306,7302,"DRUKREF 03 / T-Gang TM",NaN
14724,Coordinate Reference System,5309,7302,"DRUKREF 03 / Wangdue TM",NaN
5192,Coordinate Reference System,6933,7302,"EASE-Grid 2.0 Global",NaN
5196,Coordinate Reference System,6931,7302,"EASE-Grid 2.0 North",NaN
5197,Coordinate Reference System,6932,7302,"EASE-Grid 2.0 South",NaN
4417,Coordinate Reference System,2192,7302,"ED50 / France EuroLamb",NaN
6062,Coordinate Reference System,3893,7302,"ED50 / Iraq Nat. Grid",NaN
6145,Coordinate Reference System,6962,7302,"ETRS89 / Albania LCC",NaN
6147,Coordinate Reference System,6870,7302,"ETRS89 / Albania TM",NaN
26909,Coordinate Reference System,6069,7302,"ETRS89 / EPSG Arctic 2-22",NaN
26856,Coordinate Reference System,6070,7302,"ETRS89 / EPSG Arctic 3-11",NaN
26864,Coordinate Reference System,6071,7302,"ETRS89 / EPSG Arctic 4-26",NaN
27349,Coordinate Reference System,6072,7302,"ETRS89 / EPSG Arctic 4-28",NaN
26878,Coordinate Reference System,6073,7302,"ETRS89 / EPSG Arctic 5-11",NaN
26885,Coordinate Reference System,6074,7302,"ETRS89 / EPSG Arctic 5-13",NaN
27345,Coordinate Reference System,6125,7302,"ETRS89 / EPSG Arctic 5-47",NaN
22109,Coordinate Reference System,5678,7302,"DHDN / 3GK zone 4",NaN
5611,Coordinate Reference System,31469,7302,"DHDN / 3GK zone 5",NaN
22113,Coordinate Reference System,5679,7302,"DHDN / 3GK zone 5",NaN
1125,Coordinate Reference System,31461,7302,"DHDN / Gauss zone 1",NaN
1126,Coordinate Reference System,31462,7302,"DHDN / Gauss zone 2",NaN
1127,Coordinate Reference System,31463,7302,"DHDN / Gauss zone 3",NaN
1128,Coordinate Reference System,31464,7302,"DHDN / Gauss zone 4",NaN
1129,Coordinate Reference System,31465,7302,"DHDN / Gauss zone 5",NaN
4033,Coordinate Reference System,4803,7302,"DLx",NaN
