VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,VERSION_REMARKS,SUPERCEDED_BY,SUPERCEDES
107,08-10-2011,7.9.1,"Registry interim data release. Released change requests 2011.044, 2011.074, 2011.081, 2011.083, 2011.084, 2011.086 and 2011.089.",7.9.2,7.9
108,09-10-2011,7.9.2,Registry interim data release. Released change request 2011.092.,7.9.3,7.9.1
109,05-01-2012,7.9.3,"Registry interim data release. Released change requests 2011.082, 2011.087, 2011.088, 2011.090, 2011.094, 2011.095, 2011.100, 2011.103, 2011.105, 2011.108, 2011.109, 2011.110, 2011.112, 2011.113 and 2012.001.",7.9.4,7.9.2
110,21-01-2012,7.9.4,"Registry interim data release. Released change requests 2010.062, 2010.105, 2011.011, 2011.104, 2011.114, 2012.003, 2012.004, 2012.005, 2012.006, 2012.007 and 2012.010.",7.9.5,7.9.3
111,13-02-2012,7.9.5,"Registry interim data release. Released change requests 2011.042, 2011.085, 2011.097, 2011.098, 2011.099, 2011.101, 2011.102, 2012.013, 2012.014, 2012.015, 2012.016, 2012.017, 2012.018, 2012.020, 2012.022, 2012.023 and 2012.025. ",7.9.6,7.9.4
112,19-02-2012,7.9.6,"Registry interim data release. Released change requests 2012.024, 2012.027, 2012.029 and 2012.030.",7.9.7,7.9.5
113,24-03-2012,7.9.7,"Registry interim data release. Released change requests 2012.009, 2012.011, 2012.028, 2012.033 and 2012.036.",7.9.8,7.9.6
114,25-03-2012,7.9.8,"Registry interim data release. Released change requests 2012.032, 2012.034 and 2012.035.",7.11,7.9.7
115,18-04-2012,7.11,Version 7.11 release of full Dataset. (Note: 7.10 deliberately omitted from release version numbering).,7.11.1,7.9.8
116,08-05-2012,7.11.1,"Registry interim data release. Released change requests 2010.030, 2012.041, 2012.042, 2012.046, 2012.047, 2012.055, 2012.057 and 2012.058.",7.11.2,7.11
117,26-05-2012,7.11.2,Registry interim data release. Released change request 2012.060.,7.11.3,7.11.1
118,01-06-2012,7.11.3,Registry interim data release. Released change request 2012.062.,7.11.4,7.11.2
119,19-07-2012,7.11.4,"Registry interim data release. Released change requests 2011.038, 2012.065 and 2012.066.",7.11.5,7.11.3
120,31-07-2012,7.11.5,"Registry interim data release. Released change requests 2011.106, 2012.064 and 2012.067.",7.12,7.11.4
121,10-08-2012,7.12,Version 7.12 release of full Dataset. Data content is same as v8.0 except for area polygons.,v8.0,7.11.5
122,17-08-2012,v8.0,Version 8.0 marks the upgrade of the online registry from GML version 3.2.0 to GML version 3.2.1 and of the addition of area polygons to the Dataset.,8.1,7.12
123,26-11-2012,8.1,Version 8.1 full release of Dataset.,8.1.1,v8.0
124,17-12-2012,8.1.1,Registry interim data release. Released change requests 2012.087 and 2012.094.,8.1.2,8.1
125,17-01-2013,8.1.2,Registry interim data release. Released change request 2012.095.,8.1.3,8.1.1
126,18-01-2013,8.1.3,Registry interim data release. Released change request 2013.003.,8.1.4,8.1.2
127,29-01-2013,8.1.4,"Registry interim data release. Released change requests 2012.096, 2013.002 and 2013.005.",8.2,8.1.3
128,25-04-2013,8.2,Version 8.2 full release of Dataset.,v8.2,8.1.4
129,26-04-2013,v8.2,Re-release to trigger export file creation.,8.2.0,8.2
130,29-04-2013,8.2.0,Version 8.2 full release of Dataset. This is a re-release to correct issue with polygon for area 4059.,8.2.1,v8.2
131,30-05-2013,8.2.1,"Registry interim data release. Released change requests 2011.096, 2013.019 and 2013.026.",8.2.2,8.2.0
132,12-06-2013,8.2.2,"Registry interim data release. Released change requests 2012.052, 2012.075, 2013.020, 2013.022 and 2013.024.",8.2.3,8.2.1
133,15-06-2013,8.2.3,Registry interim data release. Released change requests 2012.097 and 2013.030.,8.2.4,8.2.2
134,21-07-2013,8.2.4,"Registry interim data release. Released change requests 2009.079, 2010.034, 2012.044, 2013.007, 2013.018, 2013.021 and 2013.034.",8.2.5,8.2.3
135,26-07-2013,8.2.5,Registry interim data release. Released change request 2013.037 and changed definition of UoM 1025 and 1033 from being a derived unit to being a conventional unit because Access model cannot handle derived units.,8.2.6,8.2.4
136,23-08-2013,8.2.6,"Registry interim data release. Released change requests 2012.086, 2013.032, 2013.033, 2013.043 and 2013.045.",8.2.7,8.2.5
137,02-09-2013,8.2.7,"Registry interim data release. Released change requests 2013.028, 2013.039, 2013.042, 2013.047, 2013.049 and 2013.050.",8.2.8,8.2.6
138,10-09-2013,8.2.8,Registry interim data release. Released change requests 2013.048 and 2013.052.,8.2.9,8.2.7
139,05-11-2013,8.2.9,"Registry interim data release. Released change requests 2013.023, 2013.040, 2013.055 and 2013.056.",8.2.10,8.2.8
140,05-11-2013,8.2.10,Registry interim data release. Released change request 2013.044.,8.3,8.2.9
141,29-11-2013,8.3,Version 8.3 full release of Dataset.,8.3.1,8.2.10
142,13-12-2013,8.3.1,"Registry interim data release. Released change requests 2013.060, 2013.062 and 2013.067.",8.3.2,8.3
143,23-12-2013,8.3.2,"Registry interim data release. Released change requests 2013.061, 2013.065, 2013.069, 2013.070 and 2013.071.",8.3.3,8.3.1
144,27-01-2014,8.3.3,"Registry interim data release. Released change requests 2013.064, 2014.001, 2014.002 and 2014.003.",8.3.4,8.3.2
145,15-02-2014,8.3.4,Registry interim data release. Released change requests 2014.005 and 2014.006.,8.4,8.3.3
146,01-05-2014,8.4,Version 8.4 full release of Dataset.,8.4.1,8.3.4
147,20-05-2014,8.4.1,Registry interim data release. Released change requests 2014.032 and 2014.034.,8.5,8.4
148,27-06-2014,8.5,Version 8.5 full release of Dataset.,8.5.1,8.4.1
149,28-07-2014,8.5.1,"Registry interim data release. Released change requests 2014.026, 2014.031, 2014.033, 2014.036, 2014.043, 2014.044, 2014.045, 2014.046 and 2014.047. Registry software upgraded from v2.4.7 to 2.4.9 to include WKT export capability. ",8.5.2,8.5
150,08-09-2014,8.5.2,"Registry interim data release. Released change requests 2013.054, 2014.037, 2014.049, 2014.050, 2014.051 and 2014.052. ",8.5.3,8.5.1
151,09-09-2014,8.5.3,Registry interim data release. Released change request 2014.056.,8.5.4,8.5.2
152,18-09-2014,8.5.4,"Registry interim data release. Released change requests 2014.061, 2014.062, 2014.064 and 2014.065. Registry software v2.4.11 installed.",8.5.5,8.5.3
153,14-10-2014,8.5.5,Registry interim data release. Released change requests 2014.072 and 2014.074.,8.5.6,8.5.4
154,19-11-2014,8.5.6,"Registry interim data release. Released change requests 2014.058, 2014.076 and 2014.082. Pre-release to v8.6 to facilitate change request 2014.083.",8.6,8.5.5
155,21-11-2014,8.6,Version 8.6 full release of Dataset.,8.6.1,8.5.6
156,04-01-2015,8.6.1,"Registry interim data release. Released change requests 2014.088, 2014.089, 2014.092, 2014.093 and 2014.094.",8.6.2,8.6
157,28-01-2015,8.6.2,"Registry interim data release. Released change requests 2014.095, 2015.002 and 2015.003.",8.6.3,8.6.1
158,12-02-2015,8.6.3,"Registry interim data release. Released change requests 2012.056, 2014.068, 2014.070, 2015.005, 2015.006 and 2015.007.",8.6.4,8.6.2
159,01-03-2015,8.6.4,Registry interim release. Registry software v2.5.2 installed - includes enhanced reports (change request 2013.025).,8.6.5,8.6.3
160,06-03-2015,8.6.5,Registry interim release. Released change request 2015.014.,8.7,8.6.4
161,22-04-2015,8.7,Version 8.7 full release of Dataset.,8.7.1,8.6.5
162,22-05-2015,8.7.1,"Registry interim release. Released change requests 2015.018, 205.027, 2015.028 and 2015.030.",8.7.2,8.7
163,23-05-2015,8.7.2,Registry interim release. Released change request 2015.033.,8.7.3,8.7.1
164,24-06-2015,8.7.3,"Registry interim release. Released change requests 2014.085, 2015.020, 2015.031 and 2015.037.",8.7.4,8.7.2
165,24-06-2015,8.7.4,Registry interim release. Released change request 2015.036.,8.7.5,8.7.3
166,21-09-2015,8.7.5,"Registry interim release. Released change requests 2015.029, 2015.035, 2015.040 and 2015.044.",8.8,8.7.4
167,25-11-2015,8.8,Version 8.8 full release of Dataset.,8.8.1,8.7.5
168,30-12-2015,8.8.1,"Registry interim release. Released change requests 2015.045, 2015.057, 2015.061, 2015.064, 2015.066, 2015.067 and 2015.070.",8.9,8.8
169,15-02-2016,8.9,Version 8.8 full release of Dataset.,,8.8.1
