# profile measurements 
# x: distance w.r.t. RSP 
# z: elevation 
# Measurement_type: Dry=0,Wet=1,Interpolated=2,JarkusMeasurement=3,ExtendedGroin=4,HelpGroin=5,Edited=6
Nprofiles=1 
Area Id=1 
year=2000 
Offset=1 
Xrsp=0 
Yrsp=0 
Anglersp=0

x;z;Measurement_type;date
1728;-11.1;0;2000-01-01
1737;-11.15;0;2000-01-01
1746;-11.2;0;2000-01-01
1755;-11.25;0;2000-01-01
1764;-11.3;0;2000-01-01
1773;-11.35;0;2000-01-01
1782;-11.4;0;2000-01-01
1791;-11.45;0;2000-01-01
1800;-11.5;0;2000-01-01
1809;-11.55;0;2000-01-01
1818;-11.6;0;2000-01-01
1827;-11.65;0;2000-01-01
1836;-11.7;0;2000-01-01
1845;-11.75;0;2000-01-01
1854;-11.8;0;2000-01-01
1863;-11.85;0;2000-01-01
1872;-11.9;0;2000-01-01
1881;-11.95;0;2000-01-01
1890;-12;0;2000-01-01
1899;-12.05;0;2000-01-01
1908;-12.1;0;2000-01-01
1917;-12.15;0;2000-01-01
1926;-12.2;0;2000-01-01
1935;-12.25;0;2000-01-01
1944;-12.3;0;2000-01-01
1953;-12.35;0;2000-01-01
1962;-12.4;0;2000-01-01
1971;-12.45;0;2000-01-01
1980;-12.5;0;2000-01-01
1989;-12.55;0;2000-01-01
1998;-12.6;0;2000-01-01
2007;-12.65;0;2000-01-01
2016;-12.7;0;2000-01-01
2025;-12.75;0;2000-01-01
2034;-12.8;0;2000-01-01
2043;-12.85;0;2000-01-01
2052;-12.9;0;2000-01-01
2061;-12.95;0;2000-01-01
2070;-13;0;2000-01-01
2079;-13.05;0;2000-01-01
2088;-13.1;0;2000-01-01
2097;-13.15;0;2000-01-01
2106;-13.2;0;2000-01-01
2115;-13.25;0;2000-01-01
2124;-13.3;0;2000-01-01
2133;-13.35;0;2000-01-01
2142;-13.4;0;2000-01-01
2151;-13.45;0;2000-01-01
2160;-13.5;0;2000-01-01
2169;-13.55;0;2000-01-01
2178;-13.6;0;2000-01-01
2187;-13.65;0;2000-01-01
2196;-13.7;0;2000-01-01
2205;-13.75;0;2000-01-01
2214;-13.8;0;2000-01-01
2223;-13.85;0;2000-01-01
2232;-13.9;0;2000-01-01
2241;-13.95;0;2000-01-01
2250;-14;0;2000-01-01
2259;-14.05;0;2000-01-01
2268;-14.1;0;2000-01-01
2277;-14.15;0;2000-01-01
2286;-14.2;0;2000-01-01
2295;-14.25;0;2000-01-01
2304;-14.3;0;2000-01-01
2313;-14.35;0;2000-01-01
2322;-14.4;0;2000-01-01
2331;-14.45;0;2000-01-01
2340;-14.5;0;2000-01-01
2349;-14.55;0;2000-01-01
2358;-14.6;0;2000-01-01
2367;-14.65;0;2000-01-01
2376;-14.7;0;2000-01-01
2385;-14.75;0;2000-01-01
2394;-14.8;0;2000-01-01
2403;-14.85;0;2000-01-01
2412;-14.9;0;2000-01-01
2421;-14.95;0;2000-01-01
2430;-15;0;2000-01-01
2439;-15.05;0;2000-01-01
2448;-15.1;0;2000-01-01
2457;-15.15;0;2000-01-01
2466;-15.2;0;2000-01-01
2475;-15.25;0;2000-01-01
2484;-15.3;0;2000-01-01
2493;-15.35;0;2000-01-01
2502;-15.4;0;2000-01-01
2511;-15.45;0;2000-01-01
2520;-15.5;0;2000-01-01
2529;-15.55;0;2000-01-01
2538;-15.6;0;2000-01-01
2547;-15.65;0;2000-01-01
2556;-15.7;0;2000-01-01
2565;-15.75;0;2000-01-01
2574;-15.8;0;2000-01-01
2583;-15.85;0;2000-01-01
2592;-15.9;0;2000-01-01
2601;-15.95;0;2000-01-01
2610;-16;0;2000-01-01
2619;-16.05;0;2000-01-01
2628;-16.1;0;2000-01-01
2637;-16.15;0;2000-01-01
2646;-16.2;0;2000-01-01
2655;-16.25;0;2000-01-01
2664;-16.3;0;2000-01-01
2673;-16.35;0;2000-01-01
2682;-16.4;0;2000-01-01
2691;-16.45;0;2000-01-01
2700;-16.5;0;2000-01-01
2709;-16.55;0;2000-01-01
2718;-16.6;0;2000-01-01
2727;-16.65;0;2000-01-01
2736;-16.7;0;2000-01-01
2745;-16.75;0;2000-01-01
2754;-16.8;0;2000-01-01
2763;-16.85;0;2000-01-01
2772;-16.9;0;2000-01-01
2781;-16.95;0;2000-01-01
2790;-17;0;2000-01-01
2799;-17.05;0;2000-01-01
2808;-17.1;0;2000-01-01
2817;-17.15;0;2000-01-01
2826;-17.2;0;2000-01-01
2835;-17.25;0;2000-01-01
2844;-17.3;0;2000-01-01
2853;-17.35;0;2000-01-01
2862;-17.4;0;2000-01-01
2871;-17.45;0;2000-01-01
2880;-17.5;0;2000-01-01
2889;-17.55;0;2000-01-01
2898;-17.6;0;2000-01-01
2907;-17.65;0;2000-01-01
2916;-17.7;0;2000-01-01
2925;-17.75;0;2000-01-01
2934;-17.8;0;2000-01-01
2943;-17.85;0;2000-01-01
2952;-17.9;0;2000-01-01
2961;-17.95;0;2000-01-01
2970;-18;0;2000-01-01
2979;-18.05;0;2000-01-01
2988;-18.1;0;2000-01-01
2997;-18.15;0;2000-01-01
3006;-18.2;0;2000-01-01
3015;-18.25;0;2000-01-01
3024;-18.3;0;2000-01-01
3033;-18.35;0;2000-01-01
3042;-18.4;0;2000-01-01
3051;-18.45;0;2000-01-01
3060;-18.5;0;2000-01-01
3069;-18.55;0;2000-01-01
3078;-18.6;0;2000-01-01
3087;-18.65;0;2000-01-01
3096;-18.7;0;2000-01-01
3105;-18.75;0;2000-01-01
3114;-18.8;0;2000-01-01
3123;-18.85;0;2000-01-01
3132;-18.9;0;2000-01-01
3141;-18.95;0;2000-01-01
3150;-19;0;2000-01-01
3159;-19.05;0;2000-01-01
3168;-19.1;0;2000-01-01
3177;-19.15;0;2000-01-01
3186;-19.2;0;2000-01-01
3195;-19.25;0;2000-01-01
3204;-19.3;0;2000-01-01
3213;-19.35;0;2000-01-01
3222;-19.4;0;2000-01-01
3231;-19.45;0;2000-01-01
3240;-19.5;0;2000-01-01
3249;-19.55;0;2000-01-01
3258;-19.6;0;2000-01-01
3267;-19.65;0;2000-01-01
3276;-19.7;0;2000-01-01
3285;-19.75;0;2000-01-01
3294;-19.8;0;2000-01-01
3303;-19.85;0;2000-01-01
3312;-19.9;0;2000-01-01
3321;-19.95;0;2000-01-01
3330;-20;0;2000-01-01
3340;-20;0;2000-01-01
3350;-20;0;2000-01-01
3360;-20;0;2000-01-01
3370;-20;0;2000-01-01
3380;-20;0;2000-01-01
3390;-20;0;2000-01-01
3400;-20;0;2000-01-01
3410;-20;0;2000-01-01
3420;-20;0;2000-01-01
3430;-20;0;2000-01-01
3440;-20;0;2000-01-01
3450;-20;0;2000-01-01
3460;-20;0;2000-01-01
3470;-20;0;2000-01-01
3480;-20;0;2000-01-01
3490;-20;0;2000-01-01
3500;-20;0;2000-01-01
3510;-20;0;2000-01-01
3520;-20;0;2000-01-01
3530;-20;0;2000-01-01
3540;-20;0;2000-01-01
3550;-20;0;2000-01-01
3560;-20;0;2000-01-01
3570;-20;0;2000-01-01
3580;-20;0;2000-01-01
3590;-20;0;2000-01-01
3600;-20;0;2000-01-01
3610;-20;0;2000-01-01
3620;-20;0;2000-01-01
3630;-20;0;2000-01-01
3640;-20;0;2000-01-01
3650;-20;0;2000-01-01
3660;-20;0;2000-01-01
3670;-20;0;2000-01-01
3680;-20;0;2000-01-01
3690;-20;0;2000-01-01
3700;-20;0;2000-01-01
3710;-20;0;2000-01-01
3720;-20;0;2000-01-01
3730;-20;0;2000-01-01
3740;-20;0;2000-01-01
3750;-20;0;2000-01-01
3760;-20;0;2000-01-01
3770;-20;0;2000-01-01
3780;-20;0;2000-01-01
3790;-20;0;2000-01-01
3800;-20;0;2000-01-01
3810;-20;0;2000-01-01
3820;-20;0;2000-01-01
3830;-20;0;2000-01-01
3840;-20;0;2000-01-01
3850;-20;0;2000-01-01
3860;-20;0;2000-01-01
3870;-20;0;2000-01-01
3880;-20;0;2000-01-01
3890;-20;0;2000-01-01
3900;-20;0;2000-01-01
3910;-20;0;2000-01-01
3920;-20;0;2000-01-01
3930;-20;0;2000-01-01
3940;-20;0;2000-01-01
3950;-20;0;2000-01-01
3960;-20;0;2000-01-01
3970;-20;0;2000-01-01
3980;-20;0;2000-01-01
3990;-20;0;2000-01-01
4000;-20;0;2000-01-01
